id,accountNumber ,creditLimit,cardType,availableMoney,transactionDateTime,merchantName,transactionAmount,acqCountry,currentExpDate,accountOpenDate,cardCVV,enteredCVV,cardLast4Digits,transactionType,currentBalance,cardPresent,isFraud
1,737265056,5000,Classic,5000,2016-08-13T14:27:32,Uber,98.55,US,23-Jun,3/14/2015,414,414,1803,PURCHASE,0,0,0
2,737265056,5000,Classic,5000,2016-10-11T05:05:54,AMC #191138,74.51,US,24-Feb,3/14/2015,486,486,767,PURCHASE,0,1,0
3,737265056,5000,Classic,5000,2016-11-08T09:18:39,Play Store,7.47,US,25-Aug,3/14/2015,486,486,767,PURCHASE,0,0,0
4,737265056,5000,Classic,5000,2016-12-10T02:14:50,Play Store,7.47,US,25-Aug,3/14/2015,486,486,767,PURCHASE,0,0,0
5,830329091,5000,Classic,5000,2016-03-24T21:04:46,Tim Hortons #947751,71.18,US,29-Oct,8/6/2015,885,885,3143,PURCHASE,0,1,0
6,830329091,5000,Classic,5000,2016-04-19T16:24:27,In-N-Out #422833,30.76,US,20-Jan,8/6/2015,885,885,3143,PURCHASE,0,1,0
7,830329091,5000,Classic,5000,2016-05-21T14:50:35,Krispy Kreme #685312,57.28,US,20-May,8/6/2015,885,885,3143,PURCHASE,0,1,0
8,830329091,5000,Classic,5000,2016-06-03T00:31:21,Shake Shack #968081,9.37,US,21-Jan,8/6/2015,885,885,3143,PURCHASE,0,1,0
9,830329091,5000,Classic,4990.63,2016-06-10T01:21:46,Burger King #486122,523.67,,Aug-32,8/6/2015,885,885,3143,PURCHASE,9.37,1,0
10,830329091,5000,Classic,5000,2016-07-11T10:47:16,Five Guys #510989,164.37,US,20-Apr,8/6/2015,885,885,3143,PURCHASE,0,1,0
11,830329091,5000,Classic,5000,2016-09-07T20:22:47,Auntie Anne's #747964,160.18,US,23-May,8/6/2015,885,885,3143,PURCHASE,0,1,0
12,830329091,5000,Classic,5000,2016-12-07T16:34:04,GreenCook,40.75,US,24-Aug,8/6/2015,885,885,3143,PURCHASE,0,0,0
13,830329091,5000,Classic,4959.25,2016-12-14T10:00:35,GreenCook,40.75,US,24-Aug,8/6/2015,885,885,3143,PURCHASE,40.75,0,0
14,830329091,5000,Classic,4918.5,2016-12-20T18:38:23,GreenCook,40.75,US,24-Aug,8/6/2015,885,885,3143,PURCHASE,81.5,0,0
15,830329091,5000,Classic,4877.75,2016-12-28T06:43:01,GreenCook,40.75,US,24-Aug,8/6/2015,885,885,3143,PURCHASE,122.25,0,0
16,574788567,2500,Classic,2500,2016-01-02T11:19:46,Washington Repair,30.08,US,31-Dec,10/13/2015,206,206,8522,PURCHASE,0,1,0
17,574788567,2500,Classic,2469.92,2016-01-16T01:01:27,Eazy Tire,41.25,US,27-Sep,10/13/2015,206,206,8522,PURCHASE,30.08,1,0
18,574788567,2500,Classic,2428.67,2016-01-26T14:04:22,Convenient Auto Services,0,US,25-Aug,10/13/2015,206,206,8522,ADDRESS_VERIFICATION,71.33,0,0
19,574788567,2500,Classic,2428.67,2016-01-29T07:17:39,Convenient Auto Services,124.21,US,Aug-32,10/13/2015,579,579,4219,PURCHASE,71.33,1,0
20,574788567,2500,Classic,2304.46,2016-01-29T07:33:15,Shell Auto Body,196.07,US,22-Aug,10/13/2015,579,539,4219,PURCHASE,195.54,1,0
21,574788567,2500,Classic,2108.39,2016-01-29T21:44:33,Convenient Auto Services,4.11,US,27-Nov,10/13/2015,579,579,4219,PURCHASE,391.61,1,0
